date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:20:37	37796/37796	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264dceada-93a4%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/audi.svg	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/audi.svg	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
21:20:37	1462/1462	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264dcead2-5b6%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/tata.svg	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/tata.svg	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
21:20:38	13251/13251	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264dceac7-33c3%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/mercedes.svg	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/mercedes.svg	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
21:20:38	478/478	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264dceac4-1de%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/mitsubidhi.svg	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/mitsubidhi.svg	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
21:20:38	11996/11996	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264dceacf-2edc%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/nissan.svg	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/nissan.svg	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
21:20:38	1624/1624	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264dceac2-658%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/volkswagen.svg	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/volkswagen.svg	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
21:20:39	39762/39762	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264dcead9-9b52%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/ferarri.svg	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/ferarri.svg	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
21:20:39	5724/5724	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264dceac8-165c%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/jeep.svg	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/jeep.svg	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
21:20:39	14748/14748	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264dcead7-399c%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/body-01.svg	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/body-01.svg	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
21:20:39	21445/21445	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264dceada-53c5%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/body-02.svg	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/body-02.svg	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
